tipo_elem;distrito;id;cod_cent;nombre;st_x;st_y;longitud;latitud
PUNTOS DE MEDIDA URBANOS;0.0;4780;None;PTE. ANDALUCIA N-S(LEGAZPI-G.CADIZ);440810.759380321;4471350.86080392;-3.6973973573045678;40.39065376020554
PUNTOS DE MEDIDA URBANOS;0.0;4810;None;AV.ANDALUCIA S-N(FRANCISCO PINO-ALCOCER);441255.86287385103;4467032.41020991;-3.691755377281361;40.35178222631637
PUNTOS DE MEDIDA URBANOS;0.0;4811;None;ORIO N-S(ARECHAVALETA-ALCOCER);441030.38433356;4467149.37407342;-3.694421176932149;40.35281999573314
PUNTOS DE MEDIDA URBANOS;0.0;4831;None;AV. ANDALUCIA GIRO A M40 S-N;441241.031050185;4468642.92548388;-3.6920783638055106;40.36628964360258
PUNTOS DE MEDIDA URBANOS;0.0;6831;None;CAMARENA N-S(YEBENES-ILLESCAS);435971.44878249295;4471760.86103221;-3.7544532608993766;40.39398928987797
PUNTOS DE MEDIDA URBANOS;0.0;4913;None;OCA?A GIRO E-S (VALMOJ-GRAL.FANJUL);435584.265350608;4471147.44044141;-3.758953054077918;40.38843349715325
PUNTOS DE MEDIDA URBANOS;0.0;4960;None;ERICA E-O(AV.POBLADOS-MON.O.ROMERO);435804.065249752;4470667.03670185;-3.7563151525881;40.384122788749025
PUNTOS DE MEDIDA URBANOS;0.0;6828;None; A.R.SACRISTAN O-E(GUAYABA-SECOYA);437076.747079354;4469626.83677215;-3.7412197284528443;40.374849282077484
PUNTOS DE MEDIDA URBANOS;0.0;6824;None;LATERAL C.TOLEDO N-S(F.LADREDA-POBLADOS);439022.254692706;4469646.0731985;-3.718305721958596;40.37516718377415
PUNTOS DE MEDIDA URBANOS;0.0;9879;None;BELZUNEGUI N-S;437333.10040760896;4470174.29154455;-3.738254018307299;40.37980032344091
PUNTOS DE MEDIDA URBANOS;0.0;9985;None;SECOYA S-N(OBOLO-AV. POBLADOS);437120.4805641579;4469563.33684111;-3.740698336104233;40.3742805458633
PUNTOS DE MEDIDA URBANOS;0.0;3684;None;G.RICARDOS E-O(B.TORRIJOS-NTRA.SRA.LUZ);437179.164323315;4470774.51361455;-3.740126512403235;40.38519580483778
PUNTOS DE MEDIDA URBANOS;0.0;5046;None; GRAL.RICARDOS O-E(A.MORAN-OPORTO);437866.861462306;4471226.07599808;-3.73206905064526;40.389315256909086
PUNTOS DE MEDIDA URBANOS;0.0;5047;None;GRAL.RICARDOS E-O( FCO.GARCIA-PL. TOROS);437634.3478800021;4471034.08505315;-3.7347895769897947;40.38756834034729
PUNTOS DE MEDIDA URBANOS;0.0;5048;None;GRAL.RICARDOS O-E(MU?OZ GRANDES-P.TOROS);437461.12180833897;4470954.32221201;-3.7368225294278967;40.38683681463914
PUNTOS DE MEDIDA URBANOS;0.0;5049;None;G.RICARDOS E-O(P.TOROS-MU?OZ GRANDES);437450.660829785;4470953.68373332;-3.7369457065720106;40.38683027758767
PUNTOS DE MEDIDA URBANOS;0.0;5051;None;GRAL. RICARDOS O-E(BLASON-MU?OZ GRANDES);437250.592661401;4470837.32350133;-3.739291229000396;40.385767007289566
PUNTOS DE MEDIDA URBANOS;0.0;5098;None; ALEJANDRO SANCHEZ O-E;439300.544354213;4471402.32012718;-3.715195076920624;40.39100865131212
PUNTOS DE MEDIDA URBANOS;0.0;5101;None;OCA E-O(MANUEL ALVAREZ-VIA CARPETANA);437043.025075896;4471325.67201766;-3.74178478745743;40.390150606569854
PUNTOS DE MEDIDA URBANOS;0.0;5108;None;N.SRA.FATIMA O-E(MU?OZ GRANDES-LAGUNA);437073.643572054;4471249.20456676;-3.7414165019591943;40.389464067779436
PUNTOS DE MEDIDA URBANOS;0.0;5110;None;V.CARPETANA N-S(LUIS FEITO-GTA.EJERCITO);436924.514029677;4471380.2394835;-3.7431864257081022;40.39063320868999
PUNTOS DE MEDIDA URBANOS;0.0;4729;None;Antonio Machado S-N(Av. Martires Marmstas-Sinesio Delgado);439107.29168289294;4479788.85240373;-3.7182752463719346;40.46654399149442
PUNTOS DE MEDIDA URBANOS;0.0;4730;None;Valle de Mena E-O (Candido Mateos - Cisar Marique);439189.47554843297;4480471.35441623;-3.7173713188295157;40.47269823640185
PUNTOS DE MEDIDA URBANOS;0.0;4732;None;Valle de Mena O-E(lateral) Entrada Gta. valle de Arce;439492.74997949;4480334.29297459;-3.7137808322019157;40.47148568536739
PUNTOS DE MEDIDA URBANOS;0.0;5881;None;AV. CARDENAL HERRERA ORIA 87 O-E(GINZO DE LIMIA-PEÃÂÃÂA DEL OSO);440646.127283485;4482467.69475781;-3.700375568129812;40.490787390909276
PUNTOS DE MEDIDA URBANOS;0.0;5882;None;RAMON GOMEZ DE LA SERNA, 1 N-S;438744.535386626;4481542.42884501;-3.7227232664360264;40.48231414321533
PUNTOS DE MEDIDA URBANOS;0.0;5883;None;Isla de Arosa 41 S-N;439343.717323556;4481678.6446484;-3.715667369699361;40.48358521010455
PUNTOS DE MEDIDA URBANOS;0.0;10027;None;AV. CARDENAL HERRERA ORIA 83 O-E(PEÃÂÃÂA DEL OSO-CTRA. DE COLMENAR);440839.835749472;4482556.25239875;-3.6980982369918745;40.491598979123395
PUNTOS DE MEDIDA URBANOS;0.0;5893;None;SAN MODESTO S-N(SAN MODESTO-AV. CARDENAL HERRERA ORIA);441004.1893081209;4482531.57110884;-3.696156680131384;40.491388338836195
PUNTOS DE MEDIDA URBANOS;0.0;3840;None;Jose Ortega y Gasset E-O - PÃÂº Castellana-Serrano;441724.75554036704;4475975.42345939;-3.687052503825896;40.43237863089287
PUNTOS DE MEDIDA URBANOS;0.0;3841;None;Jose Ortega y Gasset O-E - Serrano-PÃÂº Castellana;441815.295142014;4475977.16953352;-3.6859852939290065;40.43240069883977
PUNTOS DE MEDIDA URBANOS;0.0;3868;None; Lira E-O - Cruz del Sur-Dr. Esquerdo;443285.823254713;4473515.32729824;-3.668429661150645;40.41032468711348
PUNTOS DE MEDIDA URBANOS;0.0;3869;None;Dr. Esquerdo S-N - Av. Mediterraneo-Lira;443258.69223443203;4473457.00732978;-3.668744204371094;40.4097974599467
PUNTOS DE MEDIDA URBANOS;0.0;4193;None;Av. Mediterrane E-O - Cruz del Sur-Pl. Conde Casa;443431.540767132;4473316.463676;-3.6666946752479705;40.40854312911523
PUNTOS DE MEDIDA URBANOS;0.0;3870;None;Av. Mediterraneo E-O - Paso Inferior;443431.38468931796;4473307.00654667;-3.6666956739070478;40.40845792344997
PUNTOS DE MEDIDA URBANOS;0.0;3871;None;Fdez. Shaw S-N - Federico Moreno Torroba-Pl. Conde Casal;443334.171416885;4473189.68892572;-3.667830871383141;40.407394449839714
PUNTOS DE MEDIDA URBANOS;0.0;3872;None;Dr. Esquerdo S-N - Garibay-Pl. Conde Casal;443139.818104227;4473127.04713587;-3.6701156627454417;40.40681688632201
PUNTOS DE MEDIDA URBANOS;0.0;10036;None;Barbara Braganza O-E  - Conde Xiquena-Tamayo y Baus;441244.04046379897;4475226.60435962;-3.6926504280399817;40.42559909520492
PUNTOS DE MEDIDA URBANOS;0.0;3874;None;Av. Mediterraneo O-E - Paso Inferior;443068.19391359604;4473344.35345909;-3.6709791631621695;40.40876960559394
PUNTOS DE MEDIDA URBANOS;0.0;3878;None; Salida TVE Torrespana S-N - ;443906.4102257671;4474912.71045141;-3.6612391551188943;40.422955135745866
PUNTOS DE MEDIDA URBANOS;0.0;3889;None; Pl. Conde Casal - Antes del Grupo 15;443279.99846468;4473308.418955;-3.6684798640320437;40.40846034624389
PUNTOS DE MEDIDA URBANOS;0.0;7035;None; Interior Dr. Esquerdo N-S - Delante Grupo1;443324.579210268;4474564.92479129;-3.668066426859524;40.41978266903408
PUNTOS DE MEDIDA URBANOS;0.0;3890;None; Dr. Esquerdo N-S - Delante Grupo 1 Salida;443324.29277966;4474582.3970584;-3.6680713600025068;40.419940049031126
PUNTOS DE MEDIDA URBANOS;0.0;7034;None; Ibiza E-O - Dr. Esquedo-Maiquez(Delante Grupo 4);443247.00473492;4474581.4294717;-3.6689822565089045;40.419926064863276
PUNTOS DE MEDIDA URBANOS;0.0;3938;None;Serrano N-S - Maldonado-Juan Bravo;441870.754730473;4476355.63390719;-3.6853660978657587;40.43581396500642
PUNTOS DE MEDIDA URBANOS;0.0;3941;None;Serrano N-S - Pedro Valdivia-Maria Molina;441914.21915839;4476927.54187514;-3.68490595212264;40.440969019518384
PUNTOS DE MEDIDA URBANOS;0.0;3942;None;Hermanos Becquer N-S - General Oraa-Serrano;441812.35674554;4476586.04906169;-3.686075684816683;40.4378855700508
PUNTOS DE MEDIDA URBANOS;0.0;3943;None;Hermanos Becquer S-N - Serrano-General Oraa;441826.90090476896;4476587.02043124;-3.6859042989137056;40.43789533813934
PUNTOS DE MEDIDA URBANOS;0.0;3976;None;Francisco Silvela N-S - Gta. Lopez Hoyos-Principe Vergara;442416.11031345604;4477026.59129954;-3.678997384219084;40.44189621263267
PUNTOS DE MEDIDA URBANOS;0.0;3962;None;Juan Bravo  E-O - NuÃÂ±ez de Balboa-Velazquez;442230.868030067;4476233.25953525;-3.681109384757513;40.4347366494662
PUNTOS DE MEDIDA URBANOS;0.0;3963;None;Juan Bravo, 8 O-E - Claudio Coello-Lagasca;441990.918168713;4476232.46133712;-3.683938177201064;40.43471275752154
PUNTOS DE MEDIDA URBANOS;0.0;3965;None;Velazquez, 74 S-N - Ramon de la Cruz-Ortega y Gasset;442107.1216754621;4475829.53680009;-3.6825315062769186;40.43109111417083
PUNTOS DE MEDIDA URBANOS;0.0;3973;None;Principe Vergara N-S - Lopez Hoyos-Francisco Silvela;442530.864725784;4477097.14513946;-3.67765073595373;40.44253973485612
PUNTOS DE MEDIDA URBANOS;0.0;3974;None;Francisco Silvela S-N - Av. America-San Fdo.del Jarama;442631.176023752;4476786.60884866;-3.6764399458486468;40.43974920062583
PUNTOS DE MEDIDA URBANOS;0.0;3975;None;Principe Vergara S-N - Maria Molina-Francisco Silvela;442516.740021791;4476767.75122275;-3.6777874735148153;40.439571419144336
PUNTOS DE MEDIDA URBANOS;0.0;4012;None;Diego de Leon, 23 O-E - NuÃÂ±ez Balboa-Velazquez;442246.683036494;4476460.63218252;-3.6809435991379407;40.4367860308759
PUNTOS DE MEDIDA URBANOS;0.0;4013;None;Diego de Leon, 51 E-O - General PardiÃÂ±as-Ppe. Vergara;442604.810392058;4476433.66935664;-3.676718923826755;40.436567929707444
PUNTOS DE MEDIDA URBANOS;0.0;4015;None;Goya, 34 O-E - Castello-Principe de Vergara;442317.097497298;4475363.6949013;-3.6800138790361494;40.42690916643708
PUNTOS DE MEDIDA URBANOS;0.0;3996;None;Juan Bravo 64 O-E - Alcantara -Francisco Silvela;442994.819733304;4476164.98651722;-3.672096711605395;40.43417432462498
PUNTOS DE MEDIDA URBANOS;0.0;3579;None;Juan Bravo 69 E-O - Alcantara-Conde PeÃÂ±alver;442853.220077542;4476281.60253267;-3.6737765626706844;40.43521514275529
PUNTOS DE MEDIDA URBANOS;0.0;3997;None;Conde PeÃÂ±alver, 64 S-N - Padilla-Juan Bravo;442842.072872958;4476042.94658984;-3.673886518691396;40.433064444539994
PUNTOS DE MEDIDA URBANOS;0.0;4011;None;Principe Vergara S-N - D.Ramon de la Cruz-Jose Ortega y Gasset;442448.471309239;4475805.44580134;-3.6785052315114273;40.43089777815867
PUNTOS DE MEDIDA URBANOS;0.0;4230;None;Embajadores S-N - Sta MÃÂªCabeza-Palos de la Frontera;440714.524303159;4472793.29965634;-3.698665475756501;40.40364114383313
PUNTOS DE MEDIDA URBANOS;0.0;4231;None;Embajadores N-S - Labrador-Sta MÃÂªCabeza;440684.868692335;4472826.97729473;-3.699018073972982;40.403942416709334
PUNTOS DE MEDIDA URBANOS;0.0;4234;None; Embajadores S-N - Palos Frontera-Sebastian Elcano;440627.14086696896;4472942.11595591;-3.699709078422053;40.404975528535175
PUNTOS DE MEDIDA URBANOS;0.0;4235;None;Palos de la Frontera E-O - Bernardino Obregon-Embajadores;440755.629096965;4472917.37256495;-3.6981926481769967;40.40476178065726
PUNTOS DE MEDIDA URBANOS;0.0;4236;None;Embajadores N-S - Moratines-Labrador;440601.910649299;4472967.08904324;-3.7000087261301573;40.40519869888282
PUNTOS DE MEDIDA URBANOS;0.0;4238;None;Ronda Toledo E-O - Embajadores-Ribera Curtidores;440212.88247992203;4473223.20490575;-3.7046171707856774;40.407478069344656
PUNTOS DE MEDIDA URBANOS;0.0;3669;None;Embajadores-Ribera Curtidores) - Mira el Sol- Ronda Toledo;440097.172517213;4473368.4686445;-3.7059944391782507;40.40877835690761
PUNTOS DE MEDIDA URBANOS;0.0;4665;None;Av.Bruselas N-S - Pl.Venecia-Av.Bruselas;443880.098687481;4477010.96904153;-3.6617345680123776;40.44185557804732
PUNTOS DE MEDIDA URBANOS;0.0;4407;None;Alburquerque, 13 E-O - Cardenal Cisneros-Fuencarral;440551.86675509706;4476052.9005127;-3.700886884572341;40.432993577304316
PUNTOS DE MEDIDA URBANOS;0.0;4666;None;Av.Bruselas S-N - Av.Bruselas-Pl.Venecia;443886.508230829;4477001.66992647;-3.661658173658171;40.441772239444326
PUNTOS DE MEDIDA URBANOS;0.0;4410;None;Fuencarral, 117 S-N - Sandoval-Gta. Bilbao;440503.666080221;4475917.24352938;-3.701442426242032;40.4317680715145
PUNTOS DE MEDIDA URBANOS;0.0;9962;None;Dr.Jimenez Diaz  O-E - Salida aparcamiento Hospital;439118.0191878779;4476988.08478831;-3.7178801466977305;40.441314384306665
PUNTOS DE MEDIDA URBANOS;0.0;4476;None;Beatriz de Bobadilla E-O - Justo Dorado-JuÃÂ¡n XXIII;439389.65842871706;4477994.47637488;-3.714773427776043;40.45040021131246
PUNTOS DE MEDIDA URBANOS;0.0;4585;None;PÃÂº Castellana N-S - M-30 -Av. Monforte de  Lemos;441890.211519031;4481067.76757671;-3.685568058277945;40.478264313831
PUNTOS DE MEDIDA URBANOS;0.0;4587;None;Salida TÃÂºneL Pio XII E-O - Mauricio Legendre-PÃÂº Castellana;441999.909573418;4480895.30944229;-3.6842581762562707;40.47671840863948
PUNTOS DE MEDIDA URBANOS;0.0;4588;None;Padre Fco. Palau y Quer O-E - Castellana - Mauricio Legendre;441978.916523134;4480820.05355371;-3.684498940715044;40.476039005966335
PUNTOS DE MEDIDA URBANOS;0.0;4590;None;Salida TÃÂºnel N-S(PÃÂº Castellana)a 90mts - Salida TÃÂºnel N-S(PÃÂº Castellana)a 90mts;441861.766610418;4480908.89201431;-3.685889057504939;40.476831106642
PUNTOS DE MEDIDA URBANOS;0.0;4591;None;Salida TÃÂºnel N-S(PÃÂº Castellana)a 50mts - Salida TÃÂºnel N-S(PÃÂº Castellana)a 50mts;441848.967773684;4480850.73926786;-3.686034709951493;40.47630634666965
PUNTOS DE MEDIDA URBANOS;0.0;4592;None;Av. Monforte  Lemos O-E - Av.Monforte de Lemos-Magnolias;441610.80490433297;4481027.29687462;-3.6888604918093124;40.477880138676746
PUNTOS DE MEDIDA URBANOS;0.0;4593;None;Av.Monforte de Lemos E-O - PÃÂºCastellana-Av.Monforte de Lemos;441810.499901511;4480942.99182549;-3.686496967129372;40.477134701130076
PUNTOS DE MEDIDA URBANOS;0.0;4595;None;Sinesio Delgado O-E - Carlos III-Magnolias;441579.83578226797;4480856.33162869;-3.6892100828358236;40.47633783650103
PUNTOS DE MEDIDA URBANOS;0.0;5425;None;Av.IlustraciÃÂ³n O-E - Av.Betanzos-Centro CÃÂ­vico;439840.52122518397;4481555.39634862;-3.7097944453034444;40.48251109141509
PUNTOS DE MEDIDA URBANOS;0.0;5426;None;Av.IlustraciÃÂ³n O-E - Centro CÃÂ­vico-Ginzo de Limia;440196.317688492;4481649.36877974;-3.7056057311068864;40.483383332236386
PUNTOS DE MEDIDA URBANOS;0.0;5429;None;Av.IlustraciÃÂ³n E-O - Nudo Norte-Arzobispo Morcillo;440943.4165111209;4481977.33650778;-3.696822111687613;40.48639126586498
PUNTOS DE MEDIDA URBANOS;0.0;5431;None;Ginzo de Limia S-N - Av.Monforte de Lemos-Av.IlustraciÃÂ³n;440400.058992451;4481498.0122164;-3.703187791707903;40.482034506638996
PUNTOS DE MEDIDA URBANOS;0.0;5432;None;Ginzo de Limia N-S - FermÃÂ­n Caballero-Av.IlustraciÃÂ³n;440292.88026491203;4481807.02879248;-3.7044813488886263;40.48481054074026
PUNTOS DE MEDIDA URBANOS;0.0;5433;None;Arzobispo Morcillo S-N - Hospital-Av.IlustraciÃÂ³n;440888.503589892;4481801.40092266;-3.69745359010885;40.48480246390656
PUNTOS DE MEDIDA URBANOS;0.0;5424;None;Av.IlustraciÃÂ³n E-O - Centro CÃÂ­vico-Av.Betanzos;439839.77022663;4481567.03136085;-3.709804409408291;40.48261584933947
PUNTOS DE MEDIDA URBANOS;0.0;5538;None;PÃÂº de la Habana S-N - Jerez-Menendez Pidal;442511.408706493;4479859.99980865;-3.6781303194562893;40.46742745653039
PUNTOS DE MEDIDA URBANOS;0.0;5543;None;Av.Pio XII N-S - Macarena-Alfonso XII;442762.212707675;4479409.46197836;-3.675131412497765;40.46338612749534
