idelem;tipo_elem;identif;nombre;st_x;st_y
4505;PUNTOS DE MEDIDA URBANOS;31012;FRANCOS RODRIGUEZ O-E (DR.FEDERICO RUBIO-PABLO IGLESIAS);439.683.570.327.401;447.900.598.776.284
4060;PUNTOS DE MEDIDA URBANOS;10012;Menendez Pelayo N-S - Sainz de Baranda-Puerta Granada;442.661.750.915.466;44.740.833.111.569
4210;PUNTOS DE MEDIDA URBANOS;14014;Meson de Paredes N-S - Miguel Servet-Ronda Valencia;440.584.032.472.443;447.328.055.439.027
4211;PUNTOS DE MEDIDA URBANOS;14015; Ronda Valencia O-E - Meson de Paredes-Fray Luis Leon;440.661.317.855.736;447.321.205.858.999
4212;PUNTOS DE MEDIDA URBANOS;14016;Ronda Valencia E-O - Meson de Paredes-Gta. Embajadores;440.619.045.580.495;447.320.632.514.507
4213;PUNTOS DE MEDIDA URBANOS;14017;Embajadores S-N - Sebastian Elcano-Gta. Embajadores;440.565.774.038.157;447.305.060.113.538
10037;PUNTOS DE MEDIDA URBANOS;14043;Pº Yeserias O-E - Yeserías-Naves;439.988.958.192.788;447.241.229.903.795
3671;PUNTOS DE MEDIDA URBANOS;15003; Alcala E-O - Pl. Independencia-Pl. Cibeles;441.536.245.278.302;447.479.117.471.125
4393;PUNTOS DE MEDIDA URBANOS;18020;San Bernardo N-S - Noviciado-Reyes;4.400.983.339.286;447.539.570.761.332
4394;PUNTOS DE MEDIDA URBANOS;18021; Noviciado O-E - Norte-San Bernardo;440.087.622.452.585;447.544.213.188.961
4402;PUNTOS DE MEDIDA URBANOS;18024;Serrano Jover N-S( Lateral Izquierdo) - Alberto Aguilera-Sta Cruz de Marcenado;439.532.070.326.489;447.595.398.577.444
5558;PUNTOS DE MEDIDA URBANOS;61046;Alfonso XIII E-O - Torpedero Tucumán-Encinas;442.877.187.665.367;447.928.216.671.396
5675;PUNTOS DE MEDIDA URBANOS;62062;General Yagüe O-E - Capitán Haya-PºCastellana;4.414.308.470.999;447.883.194.096.618
6451;PUNTOS DE MEDIDA URBANOS;65040;C/. Andaluces - Av. Rafael Alberti-Av. Pablo Neruda;445.689.911.538.258;447.160.715.063.655
6460;PUNTOS DE MEDIDA URBANOS;65053;C/. Laponia - Laponia-Av. Doctor García Tapia;446.843.735.790.816;447.319.432.859.766
6461;PUNTOS DE MEDIDA URBANOS;65057;C/. Fuente Carrantona - Av. Doctor García Tapia-Mario Cabré;446.467.284.849.674;447.328.185.217.184
6452;PUNTOS DE MEDIDA URBANOS;65041;Av. Moratalaz  - Camimo Vinateros-Av. Doctor García Tapia;445.593.720.668.356;447.358.310.118.037
6458;PUNTOS DE MEDIDA URBANOS;65049;C/. José Bergamin - José Bergamín-Fuente Carrantona;446.600.774.409.448;447.375.137.611.888
3833;PUNTOS DE MEDIDA URBANOS;65051;Av. Doctor García Tapia - M-40-Rabat;447.001.663.631.193;447.327.877.429.533
6459;PUNTOS DE MEDIDA URBANOS;65052;C/. Rabat - Rabat-Av. Doctor García Tapia;446.879.614.791.448;447.339.066.355.743
4398;PUNTOS DE MEDIDA URBANOS;18302; Gta. Ruiz Jimenez E-O(Delante G. 5) -  Gta. Ruiz Jimenez E-O(Delante G. 5);440.265.241.308.595;447.587.666.753.843
5547;PUNTOS DE MEDIDA URBANOS;61035;Principe de Vergara S-N - Concha Espina-Pl.República Ecuador;442.668.841.708.448;447.843.001.463.825
5575;PUNTOS DE MEDIDA URBANOS;61064;Alberto Alcocer E-O - Víctor Andrés Belaunde-Pº de la Habana;442.384.376.274.246;447.909.778.758.189
4265;PUNTOS DE MEDIDA URBANOS;97045;Gran Vía San Francisco S-N - San Bernabé-Cra.San Francisco;439.578.336.736.723;447.363.868.191.445
5788;PUNTOS DE MEDIDA URBANOS;40006;Av. Buenos Aires - Túnel Av. San Diego-Av. Pablo Neruda;444.699.675.307.279;447.034.793.440.323
5926;PUNTOS DE MEDIDA URBANOS;44024;C/. Alcalá  - Urquiza-Gutierre de Cetina;445.308.199.902.893;447.634.217.519.792
5930;PUNTOS DE MEDIDA URBANOS;44032;C/. Ricardo Ortíz - Ricardo Ortíz- Alcalá;444.318.317.060.881;447.592.250.721.874
6050;PUNTOS DE MEDIDA URBANOS;46405;C/. Arturo Soria - Giro a Torrecilla del Puerto;44.482.961.221.456;447.814.402.156.103
6051;PUNTOS DE MEDIDA URBANOS;46406;C/. Ramírez de Arellano - Agastia-Arturo Soria;444.821.672.596.398;447.811.181.132.566
6209;PUNTOS DE MEDIDA URBANOS;54021;C/. Casalarreina  - Cordovín-Ezcaray;448.150.726.295.784;447.357.893.071.867
3721;PUNTOS DE MEDIDA URBANOS;3006;Joaquin Costa 70 E-O (Velazquez - Gta. Lopez de Hoyos) - (Velazquez - Gta. Lopez de Hoyos);442.266.301.569.615;447.722.577.811.778
4164;PUNTOS DE MEDIDA URBANOS;13016;Pº Reina Cristina E-O - Jose Anselmo Clave-Alfonso XII;441.791.574.140.298;447.332.249.546.809
4467;PUNTOS DE MEDIDA URBANOS;22302; Pl. San Juan de la Cruz S-O(Delante G.13) (P.M.5) -  Pl. San Juan de la Cruz S-O(Delante G.13) (P.M.5);441.428.955.213.334;447.713.865.131.026
5544;PUNTOS DE MEDIDA URBANOS;61032;Principe de Vergara N-S - Pl.Perú-Pl.República Dominicana;442.736.320.904.148;447.923.280.389.013
6410;PUNTOS DE MEDIDA URBANOS;64025;C/. Aquitania - Toscana-Av. Canillejas a Vicálvaro;448.182.338.014.766;447.486.160.518.589
4804;PUNTOS DE MEDIDA URBANOS;25039;AV. ANDALUCIA S-N (LATERAL);441.133.377.336.133;446.978.991.605.013
5969;PUNTOS DE MEDIDA URBANOS;45023;C/. Aquitania - Pl. Alsacia-Capri;447.325.953.281.319;447.446.498.932.544
4792;PUNTOS DE MEDIDA URBANOS;25026; SAN GRACIANO E-O;44.037.581.176.486;447.175.913.983.698
3574;PUNTOS DE MEDIDA URBANOS;50030;SAN VICENTE PAUL S-N;43.848.389.743.182;447.101.161.596.641
5144;PUNTOS DE MEDIDA URBANOS;58011;CARCASTILLO SO-NE(BESOLLA-C.V.LEGANES);43.782.374.878.428;447.028.117.464.558
5148;PUNTOS DE MEDIDA URBANOS;58015;AV.ABRANTES O-E(BESOLLA-PL.VULCANO) GIRO;437.861.345.475.055;447.003.853.527.593
5197;PUNTOS DE MEDIDA URBANOS;81017;P.ERMITA STO N-S(V.CARPETANA-S.AMBROSIO);438.604.310.779.578;447.316.166.048.966
7008;PUNTOS DE MEDIDA URBANOS;81019;PTE S.ISIDRO E-O(P.MELANC.-P.ERMITA STO);438.709.882.382.438;447.303.149.704.947
5350;PUNTOS DE MEDIDA URBANOS;87019;ZAFIRO O-E (ESTEFANIA-AV.ROSALES);442.703.780.497.215;446.691.897.455.073
3860;PUNTOS DE MEDIDA URBANOS;2005; Dr. Esquerdo S-N - Alcalde Sainz Baranda-Ibiza;443.331.351.703.788;447.447.023.616.897
3564;PUNTOS DE MEDIDA URBANOS;2029; Alcalde Sainz Baranda E-O - Giro Izq. a Torrespana;443.923.571.284.377;447.494.736.379.661
3582;PUNTOS DE MEDIDA URBANOS;11036;Puerto Serrano E-O - Puerto Miravete-Embajadores;441.708.225.160.624;447.099.410.384.564
6057;PUNTOS DE MEDIDA URBANOS;46412;C/. Marqués de Pico Velasco 53 - Misterios-Arturo Soria;445.472.451.996.392;447.744.010.660.092
6058;PUNTOS DE MEDIDA URBANOS;46413;C/. López de Aranda - Gral Aranaz-Arturo Soria;445.800.493.390.867;447.719.448.122.598
6059;PUNTOS DE MEDIDA URBANOS;46414;C/. Mesena - Emilio Rubin-Navarro Amandi;444.194.603.544.647;447.940.815.258.736
3609;PUNTOS DE MEDIDA URBANOS;10019;Menendez Pelayo N-S - (Pio  Baroja-Niño Jesus(Puerta Granada);44.268.886.225.455;44.739.624.844.525
4229;PUNTOS DE MEDIDA URBANOS;14030;Pº Acacias O-E - Piramides-Dr. Vallejo Nájera;439.705.472.625.893;447.282.922.196.116
4227;PUNTOS DE MEDIDA URBANOS;14028;Pº Acacias E-O - Gasómetro-Pº de los Olmos;43.994.223.065.382;44.729.658.607.091
4228;PUNTOS DE MEDIDA URBANOS;14029;Pº de los Olmos N-S - Ronda Toledo-Pº Acacias;439.798.759.610.711;447.302.284.836.146
4381;PUNTOS DE MEDIDA URBANOS;18003;Fernández de los Rios, 71 O-E - Isaac Peral-Guzmán el Bueno;439.540.908.624.321;447.653.059.162.064
4409;PUNTOS DE MEDIDA URBANOS;19007;Bravo Murillo, 25 N-S - Donoso Cortés-Fdez.de los Rios;440.374.984.858.457;447.658.227.651.206
4411;PUNTOS DE MEDIDA URBANOS;19009;Luchana, 15 N-S - Palafox-Gta.  Bilbao;440.669.400.202.085;447.592.978.706.996
4383;PUNTOS DE MEDIDA URBANOS;18005;Alberto Aguilera O-E - Gta. Ruiz Jiménez-Vallehermoso;440.162.620.814.433;447.590.616.144.863
4405;PUNTOS DE MEDIDA URBANOS;19003;Eloy Gonzalo, 27 E-O - Santisima Trinidad-Gral.Alvarez Castro;440.703.732.536.735;447.643.387.586.899
4677;PUNTOS DE MEDIDA URBANOS;35043;Roberto Domingo N-S - Martínez Izquierdo-Av.Toreros;444.028.805.457.586;447.641.259.880.126
5080;PUNTOS DE MEDIDA URBANOS;2058;Reina Cristina O-E - Andres Torrejon-Gutenberg;442.277.603.923.127;447.336.501.001.608
3411;PUNTOS DE MEDIDA URBANOS;97028;Av.Pablo Iglesias S-N  - San Francisco de Sales-Reina Victoria;440.120.058.103.993;447.772.167.809.952
7003;PUNTOS DE MEDIDA URBANOS;97098;Méndez Alvaro S-N - Estrella Naos -Repsol;44.214.917.617.348;447.238.227.350.753
4006;PUNTOS DE MEDIDA URBANOS;8005;Jose Ortega y Gasset 45 O-E - Ppe. Vergara-Gral. Diaz Polier;442.613.664.632.072;447.591.175.551.601
4679;PUNTOS DE MEDIDA URBANOS;35046;Pl.Venecia E-O - Av.Brasilia-Av.Bruselas;444.001.204.672.257;447.710.906.564.241
5427;PUNTOS DE MEDIDA URBANOS;43016;Av.Ilustración E-O - Arzobispo Morcillo-Ginzo de Limia;440.525.505.275.304;448.177.678.682.593
5457;PUNTOS DE MEDIDA URBANOS;60010;PºCastellana S-N - Raimundo Fernández Villaverde-San Juán de la Cruz;441.476.016.515.001;447.767.371.739.233
5460;PUNTOS DE MEDIDA URBANOS;60013;PºCastellana S-N - Hermanos Pinzón-Pl.de Lima;441.530.537.358.678;447.815.347.867.442
5463;PUNTOS DE MEDIDA URBANOS;60016;PºCastellana S-N - Juán Gris- Sor Angela de la Cruz;441.595.248.703.468;447.894.434.950.701
3451;PUNTOS DE MEDIDA URBANOS;60088;Méndez Casariego E-O(Entrada Pl.Quito) - Méndez Casariego E-O(Entrada Pl.Quito);441.775.555.988.689;447.808.727.921.608
5605;PUNTOS DE MEDIDA URBANOS;61099;Colombia O-E - Chile-Puerto Rico;442.847.596.753.734;447.891.281.166.447
7092;PUNTOS DE MEDIDA URBANOS;61121;Acceso M-30 N-E(Túnel) - M-30 Norte-Pl.José MªSoler;443.542.426.618.306;447.924.764.710.545
7094;PUNTOS DE MEDIDA URBANOS;62085;Sor Angela de la Cruz O-E(Giro Izqda) - Capitán Haya-Orense;441.310.524.691.784;447.917.040.537.293
3425;PUNTOS DE MEDIDA URBANOS;63002;Bravo Murillo N-S - Navarra-Castilla;440.497.789.155.865;447.853.931.723.895
5812;PUNTOS DE MEDIDA URBANOS;41001;Av. Ciudad de Barcelona - Seco-M-30;443.184.221.328.681;447.247.906.210.216
4413;PUNTOS DE MEDIDA URBANOS;19011;Sagasta, 13 E-O - Francisco de Rojas-Gta. Bilbao;440.717.635.397.732;447.577.533.306.226
4447;PUNTOS DE MEDIDA URBANOS;21025;Gral. Martínez Campos, 36 O-E - Zurbano-Miguel Angel;441.329.900.737.986;447.648.736.126.031
