tipo_elem;distrito;id;cod_cent;nombre;utm_x;utm_y;longitud;latitud
URB;15.0;6059;46414;C/. Mesena - Emilio Rubin-Navarro Amandi;444.085.195.398.675;447.920.064.778.158;-3.65950912985655;40.4615951174238
URB;15.0;6061;46416;C/. Agastia - Arturo Baldasano-JosÃ© Silva;444.139.309.075.119;447.845.383.422.145;-3.65880518361135;40.4548710943131
URB;15.0;6062;47001;C/. Arturo Soria - Manuel Uribe-AÃ±astro;443.564.425.102.886;447.965.939.387.704;-3.665691965333;40.465692510103
URB;15.0;6063;47002;C/. Arturo Soria - AÃ±astro-Ramonet;443.513.042.441.004;447.991.428.064.723;-3.66632070809875;40.4679851562384
URB;15.0;6064;47003;C/. Arturo Soria  - Bausa-Cta. Sagrado CorazÃ³n;443.489.765.660.052;447.996.861.742.983;-3.6666001033883;40.468473063927
URB;15.0;6065;47004;C/. Arturo Soria - Bausa-San Juan de Avila;443.465.010.613.162;448.009.430.139.242;-3.66690329755242;40.4696035983718
URB;15.0;6066;47005;C/. Arturo Soria  - Alonso Saavedra-Julio Danvila;443.462.636.160.823;448.016.796.597.815;-3.66693787051117;40.4702670410498
URB;15.0;6067;47006;C/. Arturo Soria  - Av. San Luis-Serrano Galvache;443.392.761.778.247;448.045.393.128.918;-3.66778760314721;40.4728383873921
URB;15.0;6068;47007;C/. Arturo Soria - Eladio LÃ³pez Vilches-Av. San Luis;443.366.059.136.708;448.065.071.522.824;-3.66812016089541;40.474609285227
URB;15.0;6069;47008;C/. Arturo Soria  - Cultura-Caleruega;443.306.085.940.996;448.105.093.897.241;-3.66886340758588;40.4782105865927
URB;15.0;6070;47009;C/. Arturo Soria  - Cultura-Dalia;443.368.382.618.316;448.115.683.229.747;-3.66813794850331;40.4791687711302
URB;15.0;6071;47010;C/. Arturo Soria - Briviesca-Caleruega;443.467.997.763.687;448.130.788.748.298;-3.66697623548659;40.4805363305765
URB;15.0;6072;47011;Cta. Sagrado CorazÃ³n  - Sta. MarÃ­a Magdalena-Arturo Soria;443.414.124.548.839;447.978.362.995.567;-3.66747581729585;40.4668014626281
URB;15.0;6073;47012;C/. Ramonet - Mesena-Arturo Soria;44.356.632.115.537;448.003.364.468.979;-3.66570288965779;40.469064063763
URB;15.0;6074;47013;Av. San Luis - Condado de TreviÃ±o-Arturo Soria;443.202.950.296.484;448.087.630.687.558;-3.67006446164908;40.4766303762735
URB;15.0;6075;47014;C/. Caleruega  - Caleruega-Arturo Soria;443.386.821.195.829;44.812.908.544.831;-3.66793239084559;40.480377359249
URB;15.0;6076;47015;C/. Julio Danvila - Mesena-Arturo Soria;443.546.455.143.752;448.033.184.624.271;-3.66596375515686;40.4717490502257
URB;15.0;6077;47016;Av. San Luis  - Golfo de Salonica-Arturo Soria;443.439.853.528.312;448.073.074.985.382;-3.66725678946593;40.4753353018283
URB;16.0;6078;47017;Av. San Luis - Eladio LÃ³pez Vilches-Cuevas de Almanzora;443.717.192.752.416;44.805.914.275.433;-3.66397278203585;40.474099064321
URB;16.0;6079;47018;C/. Cuevas de Almanzora  - Bacares-Av. San Luis;443.819.998.962.565;448.059.350.798.906;-3.6627602302996;40.4741247663375
URB;16.0;6080;47019;Av. San Luis  - Julio Danvila-Cuevas de Almanzora;443.806.766.962.685;448.048.027.605.675;-3.66290628769335;40.4731038259661
URB;15.0;6081;47020;Av. San Luis - Arturo Soria-Condado de TreviÃ±o;44.310.532.297.351;448.105.428.488.037;-3.67123211494492;40.4782269974716
URB;15.0;6082;47021;Av. San Luis - Av. Burgos-Condado de TreviÃ±o;442.968.429.820.293;448.125.401.336.429;-3.67286501139777;40.4800168477775
URB;15.0;6083;47022;C/. Condado TreviÃ±o - M-30 y Av. San Luis;442.959.346.400.269;448.112.571.950.033;-3.67296063073045;40.4788604973837
URB;15.0;6084;47023;C/. Condado TreviÃ±o - Av. San Luis-M-30;443.103.927.441.474;448.118.782.765.287;-3.6712605603263;40.4794299133204
URB;15.0;6085;47024;Av. San Luis  - Arturo Soria-Mesena;443.441.299.224.128;448.072.056.917.366;-3.66723882736885;40.4752436881503
URB;16.0;6086;47025;Av. San Luis  - Eladio LÃ³pez Vilches-Mesena;443.708.241.479.015;448.062.406.632.491;-3.66408127096815;40.4743924827056
URB;16.0;6087;47026;Av. San Luis - Av. San Luis-Julio Danvila;443.943.879.503.557;448.038.255.234.682;-3.66128025006605;40.4722327506422
URB;16.0;6088;47027;Golfo Salonica 1 N-S - (Espliego-Av. San Luis);443.586.938.857.531;448.071.778.274.209;-3.665520538138;40.4752284921435
URB;16.0;6089;47028;C/. Mesena - Eladio lÃ³pez Vilches-Av. San Luis;44.361.188.316.034;448.059.618.130.459;-3.66521547095792;40.4741347452731
URB;16.0;6090;47029;C/. Julio Danvila - Av. San Luis-Mesena;443.711.043.637.773;448.036.200.030.338;-3.66402495897915;40.4720318619805
URB;15.0;6091;47030;C/. Arturo Soria - Laud-M-11;443.700.204.638.303;448.155.211.309.099;-3.66425847271716;40.4827521998109
URB;15.0;6092;47031;Rotonda Nudo Manoteras - Arturo Soria-Ingeniero Emilio Herrera;44.377.646.597.539;44.816.130.201.765;-3.6633641548656;40.4833060454054
URB;16.0;6093;47032;Ingeniero Emilio Herrera - Ingeniero Emilio Herrera-Arturo Soria;443.914.547.440.612;448.171.756.498.498;-3.66174432649831;40.4842571705109
URB;16.0;6094;47033;Rotonda Nudo Manoteras - Ingeniero Emilio Herrera-Arturo Soria;443.764.018.667.176;448.169.092.906.573;-3.66351791849361;40.4840070401509
URB;15.0;6095;47034;Acceso a Arturo Soria - M-30-Arturo Soria;443.627.993.873.898;448.163.555.079.366;-3.66511782298005;40.4834989438198
URB;15.0;6096;47035;C/. Arturo Soria  - LaÃºd-Briviesca;443.657.068.790.506;448.152.700.741.647;-3.66476515144909;40.4825231107736
URB;15.0;6097;47036;C/. Arturo Soria  - Dalia-Violin;443.471.170.488.692;448.128.424.452.952;-3.66693669756677;40.4803235604228
URB;15.0;3831;47037;C/. Dalia  - Arturo Soria-Dalia;443.454.108.754.375;44.812.347.302.826;-3.66713356619762;40.479876352554
URB;15.0;6098;47038;C/. Dalia - JazmÃ­n-Arturo Soria;443.510.229.878.822;44.811.996.682.629;-3.6664683629595;40.4795643181099
URB;16.0;6099;47039;C/. Bacares - Cuevas de Almanzora-Golfo de SalÃ³nica;443.681.734.130.169;448.102.996.072.932;-3.66443000638115;40.4780471660272
URB;15.0;6100;47040;C/. Arturo Soria  - Emeterio CastaÃ±os-Manuel Uribe;443.612.750.853.927;447.942.612.630.995;-3.66510124191258;40.4635944078072
URB;15.0;10167;47041;C/ Serrano Galvache - Bausa - Arturo Soria;443.335.900.923.631;448.028.609.050.827;-3.66844334613174;40.4713225246748
URB;15.0;6101;47042;C/. AÃ±astro - Mesena-Arturo Soria;443.729.321.702.083;447.985.973.609.218;-3.66376480100451;40.4675084716739
URB;16.0;6102;47043;Mesena - Manuel Uribe-AÃ±astro;443.773.337.852.947;447.978.602.883.491;-3.6632390909096;40.4668474624708
URB;15.0;6103;47044;Mesena  - Ramonet-AÃ±astro;44.373.932.970.708;447.993.260.026.419;-3.66365321605911;40.4681655439812
URB;16.0;10109;47045;Salida a M-11 E-O  - (Dulce ChacÃ³n-M-11);443.757.065.962.614;448.170.722.604.421;-3.66360139279992;40.4841533795685
URB;16.0;6111;47046;Av. San Luis 77 O-E - Eladio LÃ³pez Vilches-Julio DÃ¡nvila;44.376.950.415.118;448.050.800.263.657;-3.66334830362771;40.4733510778374
URB;16.0;6104;47401;C/. Dulce ChacÃ³n - EstaciÃ³n Metro-Ingeniero Emilio Herrera;443.795.156.677.292;448.172.966.061.785;-3.66315398417483;40.4843580595878
URB;15.0;6105;47402;C/. LaÃºd  - Jazmin-Arturo Soria;443.707.352.414.255;44.815.282.861.969;-3.66417202876223;40.4825380412422
URB;15.0;6106;47403;C/. Eladio LÃ³pez Vilches - Mesena-Arturo Soria;443.412.756.875.833;448.052.854.220.266;-3.66755839530693;40.4735118786639
URB;15.0;6107;47404;C/. Alonso Saavedra - Mesena-Arturo Soria;443.501.392.748.409;448.012.519.329.445;-3.66647690197805;40.4698843621227
URB;15.0;3430;47405;C/. Manuel Uribe - Mesena-Arturo Soria;4.436.323.540.076;447.950.870.412.837;-3.66487736784;40.4643396378213
URB;16.0;3777;47406;C/. AÃ±astro  - Burgo de Osma-Mesena;443.768.564.586.387;447.987.508.387.983;-3.66330328450323;40.4676493889433
URB;16.0;6108;47407;C/. Golfo de SalÃ³nica  - Espliego-San Luis;443.590.928.365.746;448.069.305.705.425;-3.66547127667882;40.4750060229514
URB;16.0;6109;47408;C/. Mesena  - Eladio LÃ³pez Vilches-Av. San Luis;443.601.028.714.212;44.806.420.936.041;-3.66534759621351;40.4745476070749
URB;15.0;3778;47409;Av. San Luis  - Arturo Soria-Mesena;443.575.319.066.622;448.066.655.845.665;-3.66565305406537;40.4747662512726
URB;16.0;6110;47410;C/. Eladio LÃ³pez Vilches - Mesena-Av. San Luis;4.436.913.035.486;44.805.855.767.054;-3.66427766014055;40.4740446024944
URB;16.0;6112;47412;Av. San Luis  - Eladio LÃ³pez Vilches-Cuevas Almanzora;443.761.987.381;4.480.536.480.718;-3.66343949793414;40.4736071125169
